path,reasons,subject,note
Flannelette Pillowcase Set/Solid/Oatmeal/FlannelPillowcase-Solid-Oatmeal-Deepetch-NoTalent-Real-01.png,old branding,"folded pillowcase stack with visible brand tag, cutout style",lowercase 'ecoy' wordmark visible on the fabric tag
Flannelette Pillowcase Set/Solid/Sage/FlannelPillowcase-Solid-Sage-Deepetch-NoTalent-Real-01.png,old branding,two folded pillowcases stacked on white background with belly tags,"belly tags show old lowercase rounded 'ecoy' wordmark, pre-2026 branding"
Flannelette Quilt Cover Set/Solid/Eggplant/No Talent/FlannelQuiltCover-Solid-Eggplant-Deepetch-NoTalent-Real-01.png,old branding,packaged flannelette quilt cover with belly band and hang tag,old lowercase rounded ecoy wordmark on band and hang tag
Flannelette Quilt Cover Set/Solid/Eggplant/No Talent/FlannelSheetSet-Solid-Eggplant-Freestyle-NoTalent-Real-01.jpg,old branding,"packaged sheet set on outdoor chair, plum-coloured label",small 'ecoy' wordmark on label appears in lowercase old-logo style
Flannelette Quilt Cover Set/Solid/Forest Green/No Talent/FlannelQuiltCover-Solid-ForestGreen-CloseUp-NoTalent-Real-01.jpg,old branding,hands pulling brand tag on dark green quilt fabric,old lowercase 'ecoy' logo visible on tag
Flannelette Quilt Cover Set/Solid/Oatmeal/Talent/FlannelQuiltCover-Solid-Oatmeal-Freestyle-Talent-Real-01.jpg,weak shot,"man standing beside bed with white bedding, product barely visible",man dominates frame; oatmeal product barely glimpsed
Flip Cooling Pillow/No Talent/FlipPillow-CloseUp-NoTalent-Real-01.jpg,old branding; weak shot,extreme close crop of embossed logo texture on white fabric,embossed lowercase 'ecoy' wordmark clearly visible; no product colour shown
Flip Cooling Pillow/No Talent/FlipPillow-Freestyle-NoTalent-Real-01.jpg,weak shot; production artefact in frame,"pillow with blue piping on bed, kraft hangtag draped on headboard",paper hangtag left hanging on headboard looks unstyled
Flip Cooling Pillow/No Talent/FlipPillow-High45-NoTalent-Real-01.jpg,weak shot,"bare mattress on bed frame, no pillow product visible","filename says FlipPillow but frame shows a bare mattress, not a pillow"
Waterproof Bamboo Mattress Protector/MattressProtector-Freestyle-Talent-Real-01.jpg,old branding,hands fitting a mattress protector onto a bed corner,embossed lowercase 'ecoy' text visible on fabric near corner
